Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД;Отклонение_начала;Отклонение_окончания
0%;153 д;01.05.26;30.09.26;01.10.26;30.10.26;30 д;;;3;СМР;923;1267;;;НД;ДВЕРИ, РАСПАШНЫЕ ВОРОТА;ЛОТ №14;;4;;153 д;30 д
0%;153 д;01.05.26;30.09.26;01.10.26;15.10.26;15 д;;;4;СМР;924;1268;;;НД;Наружные;14.1;;4;;153 д;15 д
0%;153 д;01.05.26;30.09.26;01.10.26;15.10.26;15 д;;;5;СМР;925;1269;898ОН+1 д;;НД;Наружные двери металлические утепленные 2080*1670мм;;;5;;153 д;15 д
0%;153 д;01.05.26;30.09.26;01.10.26;15.10.26;15 д;;;5;СМР;926;1270;898ОН+1 д;;НД;Наружные двери металлические утепленные 2080*1260мм;;;5;;153 д;15 д
0%;153 д;01.05.26;30.09.26;21.10.26;30.10.26;10 д;;;4;СМР;927;1271;;;НД;Внутренние;14.2;;4;;173 д;30 д
0%;153 д;01.05.26;30.09.26;21.10.26;30.10.26;10 д;;;5;СМР;928;1272;900ОН+1 д;;НД;Внутренние противопожарные двери металлические 2080*970мм;;;5;;173 д;30 д
0%;153 д;01.05.26;30.09.26;01.10.26;15.10.26;15 д;;;3;СМР;929;1273;;;НД;КОЗЫРЬКИ;ЛОТ №15;;4;;153 д;15 д
0%;153 д;01.05.26;30.09.26;01.10.26;15.10.26;15 д;;;4;СМР;930;1274;898ОН+1 д;;НД;Стеклянный козырек 2х1,2 м (две тяги, тонированное стекло триплекс 8+8);;;5;;153 д;15 д
0%;153 д;01.05.26;30.09.26;05.10.26;03.11.26;30 д;;;3;СМР;931;1275;887НН+15 д;;НД;ОГНЕЗАЩИТА;ЛОТ №16;;4;;157 д;34 д
0%;122 д;01.05.26;30.08.26;21.08.26;30.10.26;71 д;;;3;СМР;932;1276;;;НД;ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ;ЛОТ №17;;4;;112 д;61 д
0%;122 д;01.05.26;30.08.26;21.08.26;09.09.26;20 д;;;4;СМР;933;1277;;;НД;ОСНОВАНИЕ ПОД ПОЛЫ;17.1;;4;;112 д;10 д
0%;122 д;01.05.26;30.08.26;21.08.26;09.09.26;20 д;;;5;СМР;934;1278;895НН+15 д;936НН+15 д;НД;Основание под полы (стабилизация грунта + щебень 80 мм/песок 100 мм + геотекстиль);;;5;;112 д;10 д
0%;122 д;01.05.26;30.08.26;05.09.26;04.10.26;30 д;;;4;СМР;935;1279;;;НД;ПРОМЫШЛЕННЫЕ ПОЛЫ;17.2;;4;;127 д;35 д
0%;122 д;01.05.26;30.08.26;05.09.26;04.10.26;30 д;;;5;СМР;936;1280;"934НН+15 д;938НН+15 д";"887НН+15 д;945ОН+5 д;946ОН+5 д;947ОН+5 д;948ОН+5 д;950ОН+5 д;951ОН+5 д;952ОН+5 д;954ОН+5 д";НД;Работы по устройству монолитной железобетонной плиты пола проектной толщиной 200мм, с армированием (нижний пояс) стержневой арматурой класса А500 O10 с ячейкой 200х200мм, из бетона класса В25, с нанесением упрочняющего покрытия, с устройством температурно;;;5;;127 д;35 д
0%;122 д;01.05.26;30.08.26;21.08.26;30.10.26;71 д;;;4;СМР;937;1281;;;НД;Полы АБК/перекрытия/покрытие;17.3;;4;;112 д;61 д
0%;122 д;01.05.26;30.08.26;21.08.26;09.09.26;20 д;;;5;СМР;938;1282;895НН+15 д;"936НН+15 д;939ОН+1 д";НД;Основание под плиту пола в АБК: песок 200, щебень фр.20-40 - 200, пленка (геотекстиль);;;5;;112 д;10 д
0%;122 д;01.05.26;30.08.26;11.09.26;30.09.26;20 д;;;5;СМР;939;1283;938ОН+1 д;940ОН+5 д;НД;Устройство монолитной ж/б плиты пола в АБК толщ. 140мм с утеплением;;;5;;133 д;31 д
0%;122 д;01.05.26;30.08.26;06.10.26;30.10.26;25 д;;;5;СМР;940;1284;939ОН+5 д;"957ОН+1 д;958ОН+1 д;959ОН+1 д";НД;Устройство монолитной плиты перекрытия 170мм по смонтированному профлисту бетоном В25 (вкл. температурно-усадочный и деформационные швы, монолитный армированный пояс);;;5;;158 д;61 д
