;;;;;;;;;;;;;;;;;;;;;ПРОИЗВОДСТВЕННО - СКЛАДСКОЙ КОМПЛЕКС «ЦИФРОВОЙ ПРОМЫШЛЕННЫЙ КОВОРКИНГ ИНДАСТРИАЛ СИТИ «ЛЕНИНСКИЙ»;;;;;;;
ID_проекта;№ п/п;Наименование  работ (разделов работ).;№ Договора;Шифр;Номер шифра;Блок;Шифр полный;"Ноябрь
0feb8a44-a0f4-11ef-af7f-0050560219d5;20;Конструкции металлические. Наружные лестницы;65-ХСА-1/24;КМ;5;A;65-ХСА-1/24-КМ5-А;;;;;;;;;;;;;;30.04.2025;Загружен, старая версия;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 05.06.25
Изм.1 - КРП выдал 03.07.25
Изм.2 - КРП выдал 06.08.25
Изм.3 - КРП выдал 22.09.25
Изм.4 - КРП выдал 22.10.25
Изм.5 - КРП выдал 06.11.25";"03.06.25
05.06.25
03.07.25 - Изм.1
07.08.25 - Изм.2
22.09.25 - Изм.3
28.10.25 - Изм.4
06.11.25 - Изм.5";"27.11.25 - Изм.5 - эл. версия - СВ
30.03.26 - Изм.5 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;21;Электрическое освещение и электрооборудование;65-ХСА-1/24;ЭОМ;;A;65-ХСА-1/24-ЭОМ-А;;;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;31.05.2025;Загружен, возвращен на доработку (загружена старая версия);на рассмотрении;"Исключить крыки лотков (для ОКЛ остаются)

Согласно распоряжению №15-Ленинский от 03.03.26 скорректировать выделяемую мощность в бокс №14";;"КРП выдал 18.06.25
КРП выдал 07.07.25
КРП выдал 08.09.25
Изм.1 - КРП выдал 02.03.26";"07.07.25
07.11.25";
0feb8a44-a0f4-11ef-af7f-0050560219d5;22;Внутренние системы водоснабжения и канализации;65-ХСА-1/24;ВК;;A;65-ХСА-1/24-ВК-А;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;на рассмотрении;"Опора ОП-1,ОП-2 на листе узла учета и на последних листе различна

ошибки спецификаций";;"КРП выдал 27.06.25
Изм.1 - КРП выдал 02.03.26
Изм.1 - КРП выдал 12.03.26
Изм.1 - КРП выдал 20.03.26";;"27.11.25 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;23;Автоматическая установка пожаротушения;65-ХСА-1/24;АПТ;;A;65-ХСА-1/24-АУПТ-А;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;;;"КРП выдал 18.06.25
Изм.1 - КРП выдал 02.03.26";"01.08.25
30.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;24;Отопление, вентиляция и кондиционирование;65-ХСА-1/24;ОВ;;A;65-ХСА-1/24-ОВ-А;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
КРП выдал 12.03.26
Изм.1 - КРП выдал 20.03.26";03.04.26 - изм.1;
0feb8a44-a0f4-11ef-af7f-0050560219d5;25;Пожарная сигнализация;65-ХСА-1/24;ПС;;A;65-ХСА-1/24-ПС-А;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;"По распоряжению №68-LI от 19.03.26г.:
 1.  Для  локального  контроля  и  оперативного  управления  подсистемами 
резидентов предусмотреть проектом комплектацию шкафов пожарной сигнализации 
(ШПС), блоком световой и звуковой индикации состояния разделов типа С2000-бки с 
возможностью ограничения доступа к органам управления при помощи встроенного 
считывателя ключей. Touch Memory.  
2. Размещения шкафов пожарной сигнализации (ШПС) в боксах резидентов 
выполнить в производственно-складских помещениях. Место размещения определить 
проектом.  Решение  подлежит  дополнительному  согласованию  с  проектно-
инвестиционной группой заказчика. ";10.04.2026;"КРП выдал 24.06.25
Изм.1 - КРП выдал 25.02.26";"04.08.25
23.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;26;Автоматизация комплексная;65-ХСА-1/24;АК;;A;65-ХСА-1/24-АК-А;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;не принят;"лист 6 исправить экспликацию помещений

оформить изм";16.03.2026;"КРП выдал 01.08.25
КРП выдал 08.09.25
КРП выдал 10.12.25";"07.08.25
11.12.25";
0feb8a44-a0f4-11ef-af7f-0050560219d5;27;Огнестойкость металлических конструкций;65-ХСА-1/24;ОГН;;A;Огнестойкость МК;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
Изм.1 - КРП выдал 15.01.26";"10.07.2025
16.01.26 - Изм.1";23.03.26 - Изм.1 - эл. версия - ОРИЕНТИР
0feb8a44-a0f4-11ef-af7f-0050560219d5;;Блок B;;;;;;;;;;;;;;;;;;;;;;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;1;Общие архитектурные решения;65-ХСА-1/24;АС;1;B;65-ХСА-1/24-АС1-В;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;;;30.04.2025;Загружен, возвращен на доработку;не принят;"согласно распоряжения №52-LI от 12.08.25 скорректировать планировку  для доступа МГН

Согласно распоряжения №55 LI от 20.08.25 добавить витражи на фасады Base

По распоряжению №60 от 10.12.25:
Надпись номера помещения (бокса) на фасадной части:
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1500 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""INDUSTRIAL CITY""(при наличии):
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""BLOCK"":
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Для всех форматов LI предусмотреть световые знаки с названием улицы, строения, номера строения на боковых фасадах, ориентированных на основные проезды и внешние улично-дорожные сети, с подключением к сети электроснабжения (световой знак с названием улицы и нумерацией ГОСТ 180 (5 мм)/D44. Передняя панель - акрил + полноцветная печать на пленке ORACAL. Торец. задняя часть - ПВХ. Комплектация: светодиодная подсветка 24W, 6400 К, 152 см, 230V Ширина полосы 3,5 см (с подсветкой))

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто

по Распоряжению №63-Li от 27.01.26г. предусмотреть окраску Ж/Б цокольных панелей и Ж/б колонн фасадной матовой краской Linnimax Silkon Super Fassade, (или аналог по согласованию с Заказчиком). Цвет RAL 7035 светло серый под бетон;

По распоряжению 04-ДП от 23.03.26г. предусмотреть:
Основная отделка стен предусмотрена СМЛ панелями высотой 3м (Панель - поталь титан (панели монтируются в 1 слой));
Декоративная отделка стен предусмотрена реечными стеновыми панелями (Панель ""WINAL"" лист HPL пластик Металлик LM-1003 со скрытым креплением);
Применить вертикальный стыковочный профиль высотой 3 м;
Применить плинтус цветпо RAL 7024 WNL 100х13
Участки стен выше 3 м -""лобик"", предусмотреть в вариантах из СМЛ панелей или ГКЛ в цвет потолочных конструкций";07.04.2026;КРП выдал 27.06.25;;
