;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;1 неделя;1 неделя;1 неделя;1 неделя;1 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;5 неделя;5 неделя;5 неделя;5 неделя;
ID Проекта;Наименование проекта;ID Подрядчика;Подрядчик_new;Подрядчик_old;Тип ресурсов;01.04.2026;02.04.2026;03.04.2026;04.04.2026;05.04.2026;06.04.2026;07.04.2026;08.04.2026;09.04.2026;10.04.2026;11.04.2026;12.04.2026;13.04.2026;14.04.2026;15.04.2026;16.04.2026;17.04.2026;18.04.2026;19.04.2026;20.04.2026;21.04.2026;22.04.2026;23.04.2026;24.04.2026;25.04.2026;26.04.2026;27.04.2026;28.04.2026;29.04.2026;30.04.2026;Тип ресурсов
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО САВ-Строй (благоустр);техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;3;3;3;3;3;3;3;3;3;2;2;2;2;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО Стройдекор;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО Стройдекор;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО СвайСпецСтрой-Р;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО СвайСпецСтрой-Р;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;0ccd165e-cdbe-11eb-8bb8-005056b93b75;ИС КЛИНИНГ ООО;ООО ИС Клининг;рабочие;14;13;11;8;8;10;9;8;9;8;7;5;6;7;7;6;8;5;4;7;7;9;9;7;6;6;8;10;10;9;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;0ccd165e-cdbe-11eb-8bb8-005056b93b75;ИС КЛИНИНГ ООО;ООО ИС Клининг;техника;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО СВ;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО СВ;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО Интерстрой;рабочие;56;61;63;57;47;62;71;75;74;71;63;4;69;65;65;68;67;69;58;72;65;71;77;76;75;42;56;54;49;60;рабочие
